id,categories,street,locality,postal_code,lat,lng,rent_gross,rooms,living_space,floor,dist_transit_m,dist_grocery_m,dist_gym_m,dist_hsg_m,homegate_url,dist_center_m,predicted_rent,valuation_gap,valuation_label,walk_hsg_min,walk_transit_min,walk_grocery_min,walk_gym_min,walk_center_min,Unnamed: 25,image_url
4002838506,APARTMENT|FLAT,Wiesentalstrasse 26,St. Gallen,9000,47.4333559,9.3980884,1245.0,2.5,49.0,1.0,114.6,344.6,423.1,2265.6,https://www.homegate.ch/rent/4002838506,2066.9,1468.0,,,28.3,1.4,4.3,5.3,25.8,,
4003122491,APARTMENT|FLAT,Obere Berneggstrasse 79,St. Gallen,9012,47.4129023595612,9.36701296280686,1260.0,2.0,46.0,1.0,229.6,345.7,1021.3,2792.6,https://www.homegate.ch/rent/4003122491,1770.3,1332.0,,,34.9,2.9,4.3,12.8,22.1,,
4003065160,APARTMENT|FLAT,Teufenerstr. 129,St. Gallen,9000,47.4131555,9.364039,1160.0,3.5,70.0,0.0,63.7,399.0,732.5,2641.3,https://www.homegate.ch/rent/4003065160,1716.8,1714.0,,,33.0,0.8,5.0,9.2,21.5,,
4003045138,APARTMENT|FLAT,Obere Berneggstrasse 79,St. Gallen,9012,47.4129023595612,9.36701296280686,1707.0,3.5,71.0,0.0,229.6,345.7,1021.3,2792.6,https://www.homegate.ch/rent/4003045138,1770.3,1508.0,,,34.9,2.9,4.3,12.8,22.1,,
4002965965,APARTMENT|FLAT,Obere Berneggstrasse 79,St. Gallen,9012,47.4129023595612,9.36701296280686,1320.0,2.0,46.0,2.0,229.6,345.7,1021.3,2792.6,https://www.homegate.ch/rent/4002965965,1770.3,1304.0,,,34.9,2.9,4.3,12.8,22.1,,
4002423455,APARTMENT|ROOF_FLAT,Linsebühlstrasse 18,St. Gallen,9000,47.4243014,9.38101,1590.0,2.5,78.0,4.0,101.9,315.8,315.8,1360.7,https://www.homegate.ch/rent/4002423455,377.0,1922.0,,,17.0,1.3,3.9,3.9,4.7,,
4003111361,APARTMENT|FLAT,Langgasse 74,St. Gallen,9008,47.4391131,9.3909374,1010.0,1.5,30.0,1.0,89.3,526.2,1297.8,1659.2,https://www.homegate.ch/rent/4003111361,2254.4,1084.0,,,20.7,1.1,6.6,16.2,28.2,,
4003102605,APARTMENT|FLAT,Otmarstrasse 21,St. Gallen,9000,47.4168557,9.3568926,1237.0,2.5,35.0,1.0,48.0,343.5,183.0,2496.2,https://www.homegate.ch/rent/4003102605,1998.0,1404.0,,,31.2,0.6,4.3,2.3,25.0,,
4003100142,APARTMENT|FLAT,Steingrüblistrasse 40,St. Gallen,9000,47.4266095,9.3900995,1790.0,4.5,90.0,1.0,315.1,853.6,436.2,1856.6,https://www.homegate.ch/rent/4003100142,1156.2,1931.0,,,23.2,3.9,10.7,5.5,14.5,,
4003076338,APARTMENT|FLAT,Oberstrasse 205,St. Gallen,9000,47.4245626,9.3748965,850.0,1.0,29.0,1.0,126.2,171.1,253.7,1068.4,https://www.homegate.ch/rent/4003076338,312.6,901.0,,,13.4,1.6,2.1,3.2,3.9,,
4003064022,APARTMENT|ROOF_FLAT,Oberstrasse 177,St. Gallen,9000,47.4133009,9.353595,980.0,1.5,41.0,5.0,64.1,284.9,739.1,3052.7,https://www.homegate.ch/rent/4003064022,2286.4,1161.0,,,38.2,0.8,3.6,9.2,28.6,,
4003060090,APARTMENT|FLAT,Stahlstrasse 1,St. Gallen,9000,47.420816983033,9.35678562413233,1610.0,4.5,113.0,4.0,29.3,308.9,221.6,2187.9,https://www.homegate.ch/rent/4003060090,1806.7,2248.0,,,27.3,0.4,3.9,2.8,22.6,,
4003045872,APARTMENT|FLAT,Felsenstrasse 84,St. Gallen,9000,47.4193539352974,9.37129096497841,1110.0,1.5,30.0,-1.0,239.1,333.4,396.0,1771.9,https://www.homegate.ch/rent/4003045872,749.5,917.0,,,22.1,3.0,4.2,5.0,9.4,,
4002956376,APARTMENT|FLAT,Lettenstrasse 2,St. Gallen,9008,47.440728,9.39539,1250.0,2.5,75.0,0.0,196.8,790.8,1361.0,2159.4,https://www.homegate.ch/rent/4002956376,2668.7,1493.0,,,27.0,2.5,9.9,17.0,33.4,,
4003123714,APARTMENT|FLAT,Kräzernstrasse 108C,St. Gallen,9015,47.4063645,9.3109901,1150.0,2.0,48.0,1.0,267.4,631.6,548.4,6509.8,https://www.homegate.ch/rent/4003123714,6011.6,1153.0,,,81.4,3.3,7.9,6.9,75.1,,
4003115123,APARTMENT|FLAT,Langgasse 155,St. Gallen,9008,47.449419,9.3975375,1300.0,2.5,48.0,0.0,87.0,1780.7,2481.6,3080.1,https://www.homegate.ch/rent/4003115123,3662.7,1304.0,,,38.5,1.1,22.3,31.0,45.8,,
4003103919,APARTMENT|FLAT,Leimatstrasse 21,St. Gallen,9000,47.4322383,9.3804726,790.0,1.0,24.0,0.0,187.4,629.3,805.2,662.3,https://www.homegate.ch/rent/4003103919,1216.5,983.0,,,8.3,2.3,7.9,10.1,15.2,,
4003072504,APARTMENT|FLAT,Hinterlauben 13,St. Gallen,9000,47.4245396,9.3751625,1490.0,2.5,54.0,1.0,127.1,175.5,227.4,1069.1,https://www.homegate.ch/rent/4003072504,306.0,1909.0,,,13.4,1.6,2.2,2.8,3.8,,
4003061376,APARTMENT|FLAT,Kirchgasse 12,St. Gallen,9000,47.4274059,9.3755206,1800.0,4.5,80.0,1.0,186.0,437.0,144.2,761.2,https://www.homegate.ch/rent/4003061376,553.4,2129.0,,,9.5,2.3,5.5,1.8,6.9,,
